t,x,y,z, 
0,148999989322.05194,40500000,0,
900,148999967966.1555,80999997.09760442,0,
1800,148999935932.31113,121499988.39041734,0,
2700,148999893220.5202,161999970.97604272,0,
3600,148999839830.78485,202499941.95208472,0,
4500,148999775763.1081,242999898.41614792,0,
5400,148999701017.49374,283499837.4658376,0,
6300,148999615593.94647,323999756.19876,0,
7200,148999519492.4718,364499651.7125226,0,
8100,148999412713.07608,404999521.10473454,0,
9000,148999295255.76648,445499361.4730065,0,
9900,148999167120.55103,485999169.91495126,0,
10800,148999028307.43857,526498943.528184,0,
11700,148998878816.43878,566998679.4103224,0,
12600,148998718647.5622,607498374.658987,0,
13500,148998547800.82016,647998026.3718014,0,
14400,148998366276.22488,688497631.6463925,0,
15300,148998174073.7894,728997187.5803909,0,
16200,148997971193.52756,769496691.2714312,0,
17100,148997757635.45407,809996139.817152,0,
18000,148997533399.5845,850495530.3151964,0,
18900,148997298485.9352,890994859.8632121,0,
19800,148997052894.5234,931494125.558852,0,
20700,148996796625.36716,971993324.4997739,0,
21600,148996529678.48535,1012492453.7836413,0,
22500,148996252053.8977,1052991510.5081236,0,
23400,148995963751.6248,1093490491.770896,0,
24300,148995664771.688,1133989394.6696398,0,
25200,148995355114.10953,1174488216.3020434,0,
26100,148995034778.91248,1214986953.7658017,0,
27000,148994703766.12073,1255485604.1586165,0,
27900,148994362075.75903,1295984164.5781975,0,
28800,148994009707.85297,1336482632.1222613,0,
29700,148993646662.42896,1376981003.8885329,0,
30600,148993272939.51425,1417479276.9747453,0,
31500,148992888539.13693,1457977448.4786398,0,
32400,148992493461.32593,1498475515.4979668,0,
33300,148992087706.111,1538973475.130485,0,
34200,148991671273.5227,1579471324.473963,0,
35100,148991244163.5925,1619969060.6261785,0,
36000,148990806376.35263,1660466680.6849189,0,
36900,148990357911.8362,1700964181.7479818,0,
37800,148989898770.07718,1741461560.913175,0,
38700,148989428951.11032,1781958815.278317,0,
39600,148988948454.97125,1822455941.9412367,0,
40500,148988457281.6964,1862952937.9997745,0,
41400,148987955431.3231,1903449800.551782,0,
42300,148987442903.8894,1943946526.6951222,0,
43200,148986919699.4343,1984443113.5276704,0,
44100,148986385817.99756,2024939558.1473136,0,
45000,148985841259.61984,2065435857.6519516,0,
45900,148985286024.3426,2105932009.1394963,0,
46800,148984720112.2081,2146428009.7078733,0,
47700,148984143523.25952,2186923856.455021,0,
48600,148983556257.54083,2227419546.478891,0,
49500,148982958315.09683,2267915076.877449,0,
50400,148982349695.97318,2308410444.748675,0,
51300,148981730400.21634,2348905647.1905622,0,
52200,148981100427.87363,2389400681.30112,0,
53100,148980459778.9932,2429895544.1783705,0,
54000,148979808453.62405,2470390232.9203525,0,
54900,148979146451.816,2510884744.6251197,0,
55800,148978473773.61972,2551379076.3907413,0,
56700,148977790419.0867,2591873225.3153024,0,
57600,148977096388.2693,2632367188.496904,0,
58500,148976391681.22064,2672860963.0336637,0,
59400,148975676297.99478,2713354546.023716,0,
60300,148974950238.64655,2753847934.565212,0,
61200,148974213503.2316,2794341125.7563195,0,
62100,148973466091.80646,2834834116.6952252,0,
63000,148972708004.4285,2875326904.480132,0,
63900,148971939241.15588,2915819486.209262,0,
64800,148971159802.04764,2956311858.9808545,0,
65700,148970369687.16364,2996804019.893168,0,
66600,148969568896.56458,3037295966.0444794,0,
67500,148968757430.31198,3077787694.533085,0,
68400,148967935288.4682,3118279202.4573,0,
69300,148967102471.09644,3158770486.91546,0,
70200,148966258978.26074,3199261545.00592,0,
71100,148965404810.026,3239752373.8270545,0,
72000,148964539966.45792,3280242970.477259,0,
72900,148963664447.62305,3320733332.0549498,0,
73800,148962778253.58878,3361223455.6585636,0,
74700,148961881384.4233,3401713338.3865585,0,
75600,148960973840.1957,3442202977.3374143,0,
76500,148960055620.97586,3482692369.609632,0,
77400,148959126726.8345,3523181512.3017354,0,
78300,148958187157.84317,3563670402.51227,0,
79200,148957236914.07428,3604159037.3398037,0,
80100,148956275995.60107,3644647413.8829274,0,
81000,148955304402.49762,3685135529.240255,0,
81900,148954322134.8388,3725623380.510423,0,
82800,148953329192.70038,3766110964.792093,0,
83700,148952325576.1589,3806598279.1839485,0,
84600,148951311285.2918,3847085320.784699,0,
85500,148950286320.17734,3887572086.693077,0,
86400,148949250680.8946,3928058574.0078406,0,
87300,148948204367.5235,3968544779.827772,0,
88200,148947147380.1448,4009030701.2516794,0,
89100,148946079718.84012,4049516335.3783956,0,
90000,148945001383.69186,4090001679.3067794,0,
90900,148943912374.7833,4130486730.1357155,0,
91800,148942812692.19852,4170971484.964115,0,
92700,148941702336.02246,4211455940.890916,0,
93600,148940581306.3409,4251940095.015082,0,
94500,148939449603.24048,4292423944.4356046,0,
95400,148938307226.8086,4332907486.251502,0,
96300,148937154177.13354,4373390717.561821,0,
97200,148935990454.30444,4413873635.465635,0,
98100,148934816058.41122,4454356237.062047,0,
99000,148933630989.54468,4494838519.450187,0,
99900,148932435247.79645,4535320479.729214,0,
100800,148931228833.25897,4575802114.998316,0,
101700,148930011746.02554,4616283422.3567095,0,
102600,148928783986.1903,4656764398.903642,0,
103500,148927545553.84824,4697245041.738389,0,
104400,148926296449.09512,4737725347.960258,0,
105300,148925036672.0276,4778205314.668583,0,
106200,148923766222.7431,4818684938.962732,0,
107100,148922485101.34,4859164217.942103,0,
108000,148921193307.9174,4899643148.706124,0,
108900,148919890842.5753,4940121728.354256,0,
109800,148918577705.4145,4980599953.985989,0,
110700,148917253896.53665,5021077822.700846,0,
111600,148915919416.04425,5061555331.598383,0,
112500,148914574264.04062,5102032477.778188,0,
113400,148913218440.6299,5142509258.33988,0,
114300,148911851945.9171,5182985670.383113,0,
115200,148910474780.00806,5223461711.007573,0,
116100,148909086943.0094,5263937377.31298,0,
117000,148907688435.02866,5304412666.399086,0,
117900,148906279256.17416,5344887575.36568,0,
118800,148904859406.55508,5385362101.312582,0,
119700,148903428886.28143,5425836241.339649,0,
120600,148901987695.46405,5466309992.546772,0,
121500,148900535834.2146,5506783352.033875,0,
122400,148899073302.6456,5547256316.900921,0,
123300,148897600100.8704,5587728884.247905,0,
124200,148896116229.00317,5628201051.174859,0,
125100,148894621687.15894,5668672814.781852,0,
126000,148893116475.45355,5709144172.168987,0,
126900,148891600594.0037,5749615120.436407,0,
127800,148890074042.92688,5790085656.684289,0,
128700,148888536822.3415,5830555778.012849,0,
129600,148886988932.36673,5871025481.522339,0,
130500,148885430373.12262,5911494764.313049,0,
131400,148883861144.73,5951963623.485309,0,
132300,148882281247.3106,5992432056.1394825,0,
133200,148880690680.98694,6032900059.375976,0,
134100,148879089445.8824,6073367630.295232,0,
135000,148877477542.12115,6113834765.997733,0,
135900,148875854969.82828,6154301463.584002,0,
136800,148874221729.12964,6194767720.154598,0,
137700,148872577820.15195,6235233532.810124,0,
138600,148870923243.02277,6275698898.65122,0,
139500,148869257997.87048,6316163814.778567,0,
140400,148867582084.8243,6356628278.292888,0,
141300,148865895504.01428,6397092286.294944,0,
142200,148864198255.5713,6437555835.88554,0,
143100,148862490339.62708,6478018924.165521,0,
144000,148860771756.31418,6518481548.235773,0,
144900,148859042505.766,6558943705.197226,0,
145800,148857302588.11676,6599405392.150849,0,
146700,148855552003.50153,6639866606.197658,0,
147600,148853790752.0562,6680327344.438706,0,
148500,148852018833.91754,6720787603.975095,0,
149400,148850236249.22308,6761247381.907965,0,
150300,148848442998.11124,6801706675.338502,0,
151200,148846639080.72125,6842165481.367936,0,
152100,148844824497.1932,6882623797.097541,0,
153000,148842999247.668,6923081619.6286335,0,
153900,148841163332.28738,6963538946.062576,0,
154800,148839316751.19394,7003995773.500776,0,
155700,148837459504.53107,7044452099.044685,0,
156600,148835591592.44302,7084907919.795801,0,
157500,148833713015.0749,7125363232.855667,0,
158400,148831823772.57257,7165818035.325872,0,
159300,148829923865.08282,7206272324.308052,0,
160200,148828013292.75323,7246726096.903888,0,
161100,148826092055.73224,7287179350.215108,0,
162000,148824160154.16907,7327632081.343488,0,
162900,148822217588.21384,7368084287.390849,0,
163800,148820264358.01746,7408535965.459062,0,
164700,148818300463.7317,7448987112.6500435,0,
165600,148816325905.50912,7489437726.06576,0,
166500,148814340683.5032,7529887802.808225,0,
167400,148812344797.8682,7570337339.979501,0,
168300,148810338248.7592,7610786334.681699,0,
169200,148808321036.33212,7651234784.016979,0,
170100,148806293160.74377,7691682685.087552,0,
171000,148804254622.15173,7732130034.995676,0,
171900,148802205420.71445,7772576830.84366,0,
172800,148800145556.5912,7813023069.733864,0,
173700,148798075029.94205,7853468748.768696,0,
174600,148795993840.92798,7893913865.050617,0,
175500,148793901989.71075,7934358415.682138,0,
176400,148791799476.453,7974802397.765822,0,
177300,148789686301.31815,8015245808.404283,0,
178200,148787562464.47046,8055688644.700185,0,
179100,148785427966.07507,8096130903.756247,0,
180000,148783282806.29794,8136572582.675237,0,
180900,148781126985.30585,8177013678.559978,0,
181800,148778960503.2664,8217454188.513345,0,
182700,148776783360.34802,8257894109.638266,0,
183600,148774595556.72003,8298333439.037722,0,
184500,148772397092.55255,8338772173.814748,0,
185400,148770187968.01654,8379210311.0724325,0,
186300,148767968183.28378,8419647847.9139185,0,
187200,148765737738.5269,8460084781.442404,0,
188100,148763496633.9193,8500521108.76114,0,
189000,148761244869.63535,8540956826.9734335,0,
189900,148758982445.85013,8581391933.182647,0,
190800,148756709362.73962,8621826424.492197,0,
191700,148754425620.48062,8662260298.005556,0,
192600,148752131219.25073,8702693550.826254,0,
193500,148749826159.22842,8743126180.057875,0,
194400,148747510440.593,8783558182.80406,0,
195300,148745184063.52457,8823989556.168509,0,
196200,148742847028.20413,8864420297.254976,0,
197100,148740499334.81348,8904850403.167276,0,
198000,148738140983.53522,8945279871.00928,0,
198900,148735771974.55283,8985708697.884912,0,
199800,148733392308.0506,9026136880.89816,0,
200700,148731001984.21368,9066564417.15307,0,
201600,148728601003.22806,9106991303.753744,0,
202500,148726189365.28052,9147417537.804344,0,
203400,148723767070.5587,9187843116.40909,0,
204300,148721334119.25104,9228268036.672262,0,
205200,148718890511.54688,9268692295.698202,0,
206100,148716436247.63635,9309115890.591309,0,
207000,148713971327.71042,9349538818.456043,0,
207900,148711495751.96088,9389961076.396927,0,
208800,148709009520.58038,9430382661.51854,0,
209700,148706512633.76242,9470803570.925524,0,
210600,148704005091.7013,9511223801.722584,0,
211500,148701486894.59213,9551643351.014484,0,
212400,148698958042.63092,9592062215.906054,0,
213300,148696418536.01447,9632480393.50218,0,
214200,148693868374.9404,9672897880.907814,0,
215100,148691307559.6072,9713314675.22797,0,
216000,148688736090.21417,9753730773.567724,0,
216900,148686153966.96146,9794146173.032217,0,
217800,148683561190.05002,9834560870.726652,0,
218700,148680957759.68167,9874974863.756296,0,
219600,148678343676.05905,9915388149.22648,0,
220500,148675718939.38565,9955800724.2426,0,
221400,148673083549.86578,9996212585.910112,0,
222300,148670437507.7046,10036623731.334543,0,
223200,148667780813.10803,10077034157.62148,0,
224100,148665113466.28293,10117443861.87658,0,
225000,148662435467.43692,10157852841.205559,0,
225900,148659746816.77847,10198261092.714205,0,
226800,148657047514.5169,10238668613.50837,0,
227700,148654337560.86237,10279075400.69397,0,
228600,148651616956.02582,10319481451.37699,0,
229500,148648885700.2191,10359886762.66348,0,
230400,148646143793.6548,10400291331.659561,0,
231300,148643391236.54642,10440695155.471416,0,
232200,148640628029.10828,10481098231.2053,0,
233100,148637854171.5555,10521500555.967531,0,
234000,148635069664.1041,10561902126.864502,0,
234900,148632274506.97083,10602302941.002668,0,
235800,148629468700.37335,10642702995.488556,0,
236700,148626652244.53015,10683102287.42876,0,
237600,148623825139.66052,10723500813.929947,0,
238500,148620987385.98462,10763898572.098848,0,
239400,148618138983.7234,10804295559.042269,0,
240300,148615279933.09866,10844691771.86708,0,
241200,148612410234.33307,10885087207.68023,0,
242100,148609529887.6501,10925481863.588728,0,
243000,148606638893.27402,10965875736.699661,0,
243900,148603737251.43,11006268824.120186,0,
244800,148600824962.344,11046661122.95753,0,
245700,148597902026.2428,11087052630.31899,0,
246600,148594968443.35406,11127443343.311941,0,
247500,148592024213.90625,11167833259.043823,0,
248400,148589069338.12866,11208222374.622152,0,
249300,148586103816.25143,11248610687.154516,0,
250200,148583127648.50552,11288998193.748575,0,
251100,148580140835.12274,11329384891.512064,0,
252000,148577143376.3357,11369770777.55279,0,
252900,148574135272.37787,11410155848.978634,0,
253800,148571116523.48355,11450540102.89755,0,
254700,148568087129.88788,11490923536.41757,0,
255600,148565047091.8268,11531306146.646795,0,
256500,148561996409.53714,11571687930.693405,0,
257400,148558935083.25647,11612068885.665653,0,
258300,148555863113.22327,11652449008.67187,0,
259200,148552780499.67682,11692828296.820457,0,
260100,148549687242.85727,11733206747.219898,0,
261000,148546583343.00555,11773584356.978746,0,
261900,148543468800.36346,11813961123.205635,0,
262800,148540343615.1736,11854337043.009274,0,
263700,148537207787.67947,11894712113.498447,0,
264600,148534061318.12534,11935086331.78202,0,
265500,148530904206.7563,11975459694.968933,0,
266400,148527736453.8183,12015832200.168203,0,
267300,148524558059.55814,12056203844.488926,0,
268200,148521369024.22342,12096574625.040276,0,
269100,148518169348.0626,12136944538.931505,0,
270000,148514959031.32492,12177313583.271946,0,
270900,148511738074.26053,12217681755.17101,0,
271800,148508506477.12036,12258049051.738184,0,
272700,148505264240.1562,12298415470.08304,0,
273600,148502011363.6206,12338781007.315226,0,
274500,148498747847.76706,12379145660.54447,0,
275400,148495473692.84982,12419509426.88058,0,
276300,148492188899.124,12459872303.433449,0,
277200,148488893466.8455,12500234287.313044,0,
278100,148485587396.2711,12540595375.629417,0,
279000,148482270687.6584,12580955565.492704,0,
279900,148478943341.2658,12621314854.013119,0,
280800,148475605357.3526,12661673238.300957,0,
281700,148472256736.17886,12702030715.466597,0,
282600,148468897478.00552,12742387282.6205,0,
283500,148465527583.09433,12782742936.87321,0,
284400,148462147051.70786,12823097675.335354,0,
285300,148458755884.10953,12863451495.11764,0,
286200,148455354080.5636,12903804393.330862,0,
287100,148451941641.33514,12944156367.085897,0,
288000,148448518566.69006,12984507413.493708,0,
288900,148445084856.8951,13024857529.665339,0,
289800,148441640512.21786,13065206712.71192,0,
290700,148438185532.92673,13105554959.744665,0,
291600,148434719919.29092,13145902267.874874,0,
292500,148431243671.58054,13186248634.213932,0,
293400,148427756790.06647,13226594055.873308,0,
294300,148424259275.02045,13266938529.96456,0,
295200,148420751126.71503,13307282053.599329,0,
296100,148417232345.42358,13347624623.889345,0,
297000,148413702931.42035,13387966237.946423,0,
297900,148410162884.98038,13428306892.882463,0,
298800,148406612206.37955,13468646585.809458,0,
299700,148403050895.8946,13508985313.839483,0,
300600,148399478953.80307,13549323074.084703,0,
301500,148395896380.38333,13589659863.657372,0,
302400,148392303175.9146,13629995679.669828,0,
303300,148388699340.67694,13670330519.234503,0,
304200,148385084874.9512,13710664379.463913,0,
305100,148381459779.01907,13750997257.470665,0,
306000,148377824053.1631,13791329150.367455,0,
306900,148374177697.66663,13831660055.267067,0,
307800,148370520712.81387,13871989969.28238,0,
308700,148366853098.88986,13912318889.526356,0,
309600,148363174856.18045,13952646813.112053,0,
310500,148359485984.97232,13992973737.152617,0,
311400,148355786485.55298,14033299658.761284,0,
312300,148352076358.2108,14073624575.051384,0,
313200,148348355603.23492,14113948483.136335,0,
314100,148344624220.9154,14154271380.12965,0,
315000,148340882211.54306,14194593263.144932,0,
315900,148337129575.40955,14234914129.295876,0,
316800,148333366312.80737,14275233975.696268,0,
317700,148329592424.02988,14315552799.459991,0,
318600,148325807909.37122,14355870597.701017,0,
319500,148322012769.12637,14396187367.533413,0,
320400,148318207003.59116,14436503106.071339,0,
321300,148314390613.06223,14476817810.429049,0,
322200,148310563597.83707,14517131477.72089,0,
323100,148306725958.214,14557444105.061306,0,
324000,148302877694.49213,14597755689.564833,0,
324900,148299018806.97147,14638066228.346102,0,
325800,148295149295.9528,14678375718.51984,0,
326700,148291269161.73773,14718684157.200869,0,
327600,148287378404.62875,14758991541.504105,0,
328500,148283477024.92917,14799297868.544561,0,
329400,148279565022.94308,14839603135.43735,0,
330300,148275642398.97546,14879907339.297674,0,
331200,148271709153.3321,14920210477.240837,0,
332100,148267765286.31958,14960512546.382238,0,
333000,148263810798.24536,15000813543.837374,0,
333900,148259845689.4177,15041113466.721838,0,
334800,148255869960.1457,15081412312.151321,0,
335700,148251883610.7393,15121710077.241613,0,
336600,148247886641.50925,15162006759.108603,0,
337500,148243879052.76715,15202302354.868275,0,
338400,148239860844.8254,15242596861.636715,0,
339300,148235832017.99728,15282890276.530107,0,
340200,148231792572.59683,15323182596.664736,0,
341100,148227742508.93896,15363473819.156982,0,
342000,148223681827.33942,15403763941.12333,0,
342900,148219610528.11478,15444052959.680359,0,
343800,148215528611.58243,15484340871.944754,0,
344700,148211436078.0606,15524627675.033298,0,
345600,148207332927.86835,15564913366.062878,0,
346500,148203219161.32553,15605197942.150476,0,
347400,148199094778.75287,15645481400.413181,0,
348300,148194959780.47192,15685763737.96818,0,
349200,148190814166.80505,15726044951.932762,0,
350100,148186657938.07547,15766325039.424322,0,
351000,148182491094.60718,15806603997.560354,0,
351900,148178313636.72504,15846881823.458456,0,
352800,148174125564.75473,15887158514.236328,0,
353700,148169926879.0228,15927434067.011774,0,
354600,148165717579.85657,15967708478.9027,0,
355500,148161497667.58423,16007981747.027119,0,
356400,148157267142.53476,16048253868.503143,0,
357300,148153026005.038,16088524840.448994,0,
358200,148148774255.4246,16128794659.982994,0,
359100,148144511894.02606,16169063324.223572,0,
360000,148140238921.1747,16209330830.28926,0,
360900,148135955337.2037,16249597175.2987,0,
361800,148131661142.447,16289862356.370634,0,
362700,148127356337.23938,16330126370.623913,0,
363600,148123040921.9165,16370389215.177494,0,
364500,148118714896.81482,16410650887.15044,0,
365400,148114378262.2716,16450911383.66192,0,
366300,148110031018.625,16491170701.831211,0,
367200,148105673166.21393,16531428838.777695,0,
368100,148101304705.37817,16571685791.620863,0,
369000,148096925636.45834,16611941557.480314,0,
369900,148092535959.79587,16652196133.475754,0,
370800,148088135675.733,16692449516.726997,0,
371700,148083724784.61282,16732701704.353968,0,
372600,148079303286.77924,16772952693.476696,0,
373500,148074871182.577,16813202481.215322,0,
374400,148070428472.35168,16853451064.690098,0,
375300,148065975156.44968,16893698441.021381,0,
376200,148061511235.2182,16933944607.329643,0,
377100,148057036709.0053,16974189560.735462,0,
378000,148052551578.15988,17014433298.359528,0,
378900,148048055843.03165,17054675817.32264,0,
379800,148043549503.97113,17094917114.745708,0,
380700,148039032561.3297,17135157187.749758,0,
381600,148034505015.45956,17175396033.45592,0,
382500,148029966866.7137,17215633648.985435,0,
383400,148025418115.446,17255870031.459667,0,
384300,148020858762.01114,17296105178.000084,0,
385200,148016288806.7646,17336339085.728268,0,
386100,148011708250.06268,17376571751.76591,0,
387000,148007117092.2626,17416803173.23482,0,
387900,148002515333.72232,17457033347.25692,0,
388800,147997902974.80066,17497262270.95424,0,
389700,147993280015.85727,17537489941.448925,0,
390600,147988646457.2526,17577716355.86324,0,
391500,147984002299.34793,17617941511.319557,0,
392400,147979347542.5054,17658165404.94037,0,
393300,147974682187.08795,17698388033.848278,0,
394200,147970006233.45938,17738609395.166008,0,
395100,147965319681.98428,17778829486.01639,0,
396000,147960622533.02808,17819048303.52238,0,
396900,147955914786.95703,17859265844.80704,0,
397800,147951196444.13824,17899482106.993553,0,
398700,147946467504.9396,17939697087.205215,0,
399600,147941727969.72986,17979910782.565445,0,
400500,147936977838.87857,18020123190.197773,0,
401400,147932217112.75613,18060334307.22585,0,
402300,147927445791.73376,18100544130.77344,0,
403200,147922663876.1835,18140752657.96443,0,
404100,147917871366.47824,18180959885.922825,0,
405000,147913068262.99167,18221165811.77274,0,
405900,147908254566.0983,18261370432.638416,0,
406800,147903430276.1735,18301573745.64421,0,
407700,147898595393.59344,18341775747.9146,0,
